student_id,Credits,courses_can_register,Block_name,block_courses
231001438,21,"['CSCI207/ECEN204', 'ECEN101C', 'ENGL003', 'HUMA101', 'MATH111i']",AI-SO-3,"['CSCI207/ECEN204', 'ECEN101C', 'ENGL000', 'HUMA101', 'MATH112i', 'MATH201', 'MATH211']"
231000291,26,"['CSCI207/ECEN204', 'ECEN101C', 'ENGL003', 'HUMA101', 'MATH112i', 'MATH201']",AI-SO-3,"['CSCI207/ECEN204', 'ECEN101C', 'ENGL000', 'HUMA101', 'MATH112i', 'MATH201', 'MATH211']"
231000380,26,"['CSCI207/ECEN204', 'ECEN101C', 'ENGL003', 'HUMA101', 'MATH112i', 'MATH201']",AI-SO-3,"['CSCI207/ECEN204', 'ECEN101C', 'ENGL000', 'HUMA101', 'MATH112i', 'MATH201', 'MATH211']"
231001137,25,"['CSCI207/ECEN204', 'ECEN101C', 'ENGL003', 'HUMA101', 'MATH201', 'MATH301i']",AI-SO-3,"['CSCI207/ECEN204', 'ECEN101C', 'ENGL000', 'HUMA101', 'MATH112i', 'MATH201', 'MATH211']"
231000038,28,"['CSCI207/ECEN204', 'ECEN101C', 'ENGL201', 'HUMA101', 'MATH112i', 'MATH201']",AI-SO-3,"['CSCI207/ECEN204', 'ECEN101C', 'ENGL000', 'HUMA101', 'MATH112i', 'MATH201', 'MATH211']"
231000222,26,"['CSCI207/ECEN204', 'ECEN101C', 'ENGL201', 'HUMA101', 'MATH112i', 'MATH201']",AI-SO-3,"['CSCI207/ECEN204', 'ECEN101C', 'ENGL000', 'HUMA101', 'MATH112i', 'MATH201', 'MATH211']"
231000281,26,"['CSCI207/ECEN204', 'ECEN101C', 'ENGL201', 'HUMA101', 'MATH112i', 'MATH201']",AI-SO-3,"['CSCI207/ECEN204', 'ECEN101C', 'ENGL000', 'HUMA101', 'MATH112i', 'MATH201', 'MATH211']"
231000734,26,"['CSCI207/ECEN204', 'ECEN101C', 'ENGL201', 'HUMA101', 'MATH112i', 'MATH201']",AI-SO-3,"['CSCI207/ECEN204', 'ECEN101C', 'ENGL000', 'HUMA101', 'MATH112i', 'MATH201', 'MATH211']"
231000774,26,"['CSCI207/ECEN204', 'ECEN101C', 'ENGL201', 'HUMA101', 'MATH112i', 'MATH201']",AI-SO-3,"['CSCI207/ECEN204', 'ECEN101C', 'ENGL000', 'HUMA101', 'MATH112i', 'MATH201', 'MATH211']"
231000847,28,"['CSCI207/ECEN204', 'ECEN101C', 'ENGL201', 'HUMA101', 'MATH112i', 'MATH201']",AI-SO-3,"['CSCI207/ECEN204', 'ECEN101C', 'ENGL000', 'HUMA101', 'MATH112i', 'MATH201', 'MATH211']"
